serverid,servername,gamescore,topn,ones,serverProbability,serverFrequency
8,Roberto Carballes Baena,15-15,100,1,.57894737,19
8,Roberto Carballes Baena,15-30,100,1,.60000002,10
8,Roberto Carballes Baena,15-40,100,1,.125,8
8,Roberto Carballes Baena,30-0,100,1,.52631581,19
8,Roberto Carballes Baena,30-15,100,1,.64999998,20
8,Roberto Carballes Baena,30-30,100,1,.38461539,13
8,Roberto Carballes Baena,30-40,100,1,.22222222,9
8,Roberto Carballes Baena,40-0,100,1,.89999998,10
8,Roberto Carballes Baena,40-15,100,1,.42857143,14
8,Roberto Carballes Baena,40-30,100,1,.53846157,13
8,Roberto Carballes Baena,40-40,100,1,.5,8
8,Roberto Carballes Baena,40-50,100,1,.5714286,7
8,Roberto Carballes Baena,50-40,100,1,0,5
9,Lucas Miedler,0-0,100,1,.61538464,13
9,Lucas Miedler,0-15,100,1,.40000001,5
9,Lucas Miedler,0-30,100,1,.33333334,3
9,Lucas Miedler,0-40,100,1,.5,2
9,Lucas Miedler,15-0,100,1,.625,8
9,Lucas Miedler,15-15,100,1,.60000002,5
9,Lucas Miedler,15-30,100,1,.66666669,3
9,Lucas Miedler,15-40,100,1,.5,2
9,Lucas Miedler,30-0,100,1,.80000001,5
9,Lucas Miedler,30-15,100,1,.5,4
9,Lucas Miedler,30-30,100,1,.5,4
9,Lucas Miedler,30-40,100,1,.66666669,3
9,Lucas Miedler,40-0,100,1,.75,4
9,Lucas Miedler,40-15,100,1,.33333334,3
9,Lucas Miedler,40-30,100,1,.5,4
9,Lucas Miedler,40-40,100,1,.75,4
9,Lucas Miedler,40-50,100,1,1,1
9,Lucas Miedler,50-40,100,1,.5,4
10,Jan Hajek,0-0,100,1,.56140351,228
10,Jan Hajek,0-15,100,1,.50999999,100
10,Jan Hajek,0-30,100,1,.42857143,49
10,Jan Hajek,0-40,100,1,.4642857,28
10,Jan Hajek,15-0,100,1,.59375,128
10,Jan Hajek,15-15,100,1,.52427185,103
10,Jan Hajek,15-30,100,1,.58571428,70
10,Jan Hajek,15-40,100,1,.59523809,42
10,Jan Hajek,30-0,100,1,.65789473,76
10,Jan Hajek,30-15,100,1,.5625,80
10,Jan Hajek,30-30,100,1,.59210527,76
10,Jan Hajek,30-40,100,1,.73214287,56
10,Jan Hajek,40-0,100,1,.69999999,50
10,Jan Hajek,40-15,100,1,.60000002,60
10,Jan Hajek,40-30,100,1,.60869563,69
10,Jan Hajek,40-40,100,1,.52941179,68
10,Jan Hajek,40-50,100,1,.6388889,36
10,Jan Hajek,50-40,100,1,.75,52
11,Florian Mayer,0-0,100,1,.64587528,994
11,Florian Mayer,0-15,100,1,.59375,352
11,Florian Mayer,0-30,100,1,.5874126,143
11,Florian Mayer,0-40,100,1,.52542371,59
11,Florian Mayer,15-0,100,1,.60747665,642
11,Florian Mayer,15-15,100,1,.61605203,461
11,Florian Mayer,15-30,100,1,.57088125,261
11,Florian Mayer,15-40,100,1,.55944055,143
11,Florian Mayer,30-0,100,1,.66666669,390
11,Florian Mayer,30-15,100,1,.61352658,414
11,Florian Mayer,30-30,100,1,.58576053,309
11,Florian Mayer,30-40,100,1,.56730771,208
11,Florian Mayer,40-0,100,1,.62692308,260
11,Florian Mayer,40-15,100,1,.63920456,352
11,Florian Mayer,40-30,100,1,.62866449,307
11,Florian Mayer,40-40,100,1,.62931037,232
11,Florian Mayer,40-50,100,1,.56637168,113
11,Florian Mayer,50-40,100,1,.65745854,181
12,Michael Lammer,0-0,100,1,.64705884,34
12,Michael Lammer,0-15,100,1,.66666669,12
12,Michael Lammer,0-30,100,1,0,4
12,Michael Lammer,0-40,100,1,.5,4
12,Michael Lammer,15-0,100,1,.72727275,22
12,Michael Lammer,15-15,100,1,.5,14
12,Michael Lammer,15-30,100,1,.5714286,7
12,Michael Lammer,15-40,100,1,.80000001,5
12,Michael Lammer,30-0,100,1,.6875,16
12,Michael Lammer,30-15,100,1,.5,12
12,Michael Lammer,30-30,100,1,.60000002,10
12,Michael Lammer,30-40,100,1,.875,8
12,Michael Lammer,40-0,100,1,.81818181,11
12,Michael Lammer,40-15,100,1,.75,8
12,Michael Lammer,40-30,100,1,.625,8
12,Michael Lammer,40-40,100,1,.80000001,10
12,Michael Lammer,40-50,100,1,.5,2
12,Michael Lammer,50-40,100,1,.77777779,9
14,Aljaz Bedene,0-0,100,1,.65124553,562
14,Aljaz Bedene,0-15,100,1,.62755102,196
14,Aljaz Bedene,0-30,100,1,.58904111,73
14,Aljaz Bedene,0-40,100,1,.60000002,30
14,Aljaz Bedene,15-0,100,1,.61202186,366
14,Aljaz Bedene,15-15,100,1,.66037738,265
14,Aljaz Bedene,15-30,100,1,.59398496,133
14,Aljaz Bedene,15-40,100,1,.6388889,72
14,Aljaz Bedene,30-0,100,1,.6026786,224
14,Aljaz Bedene,30-15,100,1,.625,264
14,Aljaz Bedene,30-30,100,1,.60674155,178
14,Aljaz Bedene,30-40,100,1,.5,116
14,Aljaz Bedene,40-0,100,1,.68148148,135
14,Aljaz Bedene,40-15,100,1,.64423078,208
14,Aljaz Bedene,40-30,100,1,.59340662,182
14,Aljaz Bedene,40-40,100,1,.61363637,132
14,Aljaz Bedene,40-50,100,1,.53225809,62
14,Aljaz Bedene,50-40,100,1,.56310678,103
18,Rohan Bopanna,0-0,100,1,.75,12
18,Rohan Bopanna,0-15,100,1,.33333334,3
18,Rohan Bopanna,0-30,100,1,1,2
18,Rohan Bopanna,15-0,100,1,.22222222,9
18,Rohan Bopanna,15-15,100,1,.5,8
18,Rohan Bopanna,15-30,100,1,.66666669,6
18,Rohan Bopanna,15-40,100,1,.5,2
18,Rohan Bopanna,30-0,100,1,.5,2
18,Rohan Bopanna,30-15,100,1,.40000001,5
18,Rohan Bopanna,30-30,100,1,.71428573,7
18,Rohan Bopanna,30-40,100,1,.66666669,3
18,Rohan Bopanna,40-0,100,1,0,1
18,Rohan Bopanna,40-15,100,1,1,3
18,Rohan Bopanna,40-30,100,1,.60000002,5
18,Rohan Bopanna,40-40,100,1,.5,4
18,Rohan Bopanna,40-50,100,1,.5,4
18,Rohan Bopanna,50-40,100,1,0,2
19,Igor Kunitsyn,0-0,100,1,.61739129,230
19,Igor Kunitsyn,0-15,100,1,.47727272,88
19,Igor Kunitsyn,0-30,100,1,.52173913,46
19,Igor Kunitsyn,0-40,100,1,.68181819,22
19,Igor Kunitsyn,15-0,100,1,.57746476,142
19,Igor Kunitsyn,15-15,100,1,.61764705,102
19,Igor Kunitsyn,15-30,100,1,.50793654,63
19,Igor Kunitsyn,15-40,100,1,.39130434,46
19,Igor Kunitsyn,30-0,100,1,.597561,82
19,Igor Kunitsyn,30-15,100,1,.47916666,96
19,Igor Kunitsyn,30-30,100,1,.58536583,82
19,Igor Kunitsyn,30-40,100,1,.40384614,52
19,Igor Kunitsyn,40-0,100,1,.5714286,49
19,Igor Kunitsyn,40-15,100,1,.61194032,67
19,Igor Kunitsyn,40-30,100,1,.62162161,74
19,Igor Kunitsyn,40-40,100,1,.53061223,49
19,Igor Kunitsyn,40-50,100,1,.60000002,30
19,Igor Kunitsyn,50-40,100,1,.48648649,37
20,Marton Fucsovics,0-0,100,1,.72340423,47
20,Marton Fucsovics,0-15,100,1,.61538464,13
20,Marton Fucsovics,0-30,100,1,.80000001,5
20,Marton Fucsovics,0-40,100,1,0,1
20,Marton Fucsovics,15-0,100,1,.7352941,34
20,Marton Fucsovics,15-15,100,1,.70588237,17
20,Marton Fucsovics,15-30,100,1,.44444445,9
20,Marton Fucsovics,15-40,100,1,.40000001,5
20,Marton Fucsovics,30-0,100,1,.63999999,25
20,Marton Fucsovics,30-15,100,1,.52380955,21
20,Marton Fucsovics,30-30,100,1,.5714286,14
20,Marton Fucsovics,30-40,100,1,.5,8
20,Marton Fucsovics,40-0,100,1,.5625,16
20,Marton Fucsovics,40-15,100,1,.66666669,18
20,Marton Fucsovics,40-30,100,1,.64285713,14
20,Marton Fucsovics,40-40,100,1,.55555558,9
20,Marton Fucsovics,40-50,100,1,.80000001,5
20,Marton Fucsovics,50-40,100,1,.71428573,7
21,Fabiano De Paula,0-0,100,1,.40000001,10
21,Fabiano De Paula,0-15,100,1,.66666669,6
21,Fabiano De Paula,0-30,100,1,1,2
21,Fabiano De Paula,15-0,100,1,.75,4
21,Fabiano De Paula,15-15,100,1,.40000001,5
21,Fabiano De Paula,15-30,100,1,.40000001,5
21,Fabiano De Paula,15-40,100,1,.33333334,3
21,Fabiano De Paula,30-0,100,1,.33333334,3
21,Fabiano De Paula,30-15,100,1,.25,4
21,Fabiano De Paula,30-30,100,1,.60000002,5
21,Fabiano De Paula,30-40,100,1,.66666669,3
21,Fabiano De Paula,40-0,100,1,0,1
21,Fabiano De Paula,40-15,100,1,1,2
21,Fabiano De Paula,40-30,100,1,.66666669,3
21,Fabiano De Paula,40-40,100,1,.33333334,3
21,Fabiano De Paula,40-50,100,1,.5,2
21,Fabiano De Paula,50-40,100,1,.5,2
22,Julien Benneteau,0-0,100,1,.65904218,1399
22,Julien Benneteau,0-15,100,1,.56184489,477
22,Julien Benneteau,0-30,100,1,.66507179,209
22,Julien Benneteau,0-40,100,1,.5,70
22,Julien Benneteau,15-0,100,1,.63232106,922
22,Julien Benneteau,15-15,100,1,.6243822,607
22,Julien Benneteau,15-30,100,1,.63215262,367
22,Julien Benneteau,15-40,100,1,.57647061,170
22,Julien Benneteau,30-0,100,1,.66267121,584
22,Julien Benneteau,30-15,100,1,.61979169,576
22,Julien Benneteau,30-30,100,1,.62971175,451
22,Julien Benneteau,30-40,100,1,.56981134,265
22,Julien Benneteau,40-0,100,1,.64248705,386
22,Julien Benneteau,40-15,100,1,.65858585,495
22,Julien Benneteau,40-30,100,1,.62775332,454
22,Julien Benneteau,40-40,100,1,.61755484,319
22,Julien Benneteau,40-50,100,1,.63030303,165
22,Julien Benneteau,50-40,100,1,.64122134,262
24,Andre Ghem,0-0,100,1,.69999999,10
24,Andre Ghem,0-15,100,1,.66666669,3
24,Andre Ghem,0-30,100,1,0,1
24,Andre Ghem,0-40,100,1,1,1
24,Andre Ghem,15-0,100,1,.71428573,7
24,Andre Ghem,15-15,100,1,.25,4
24,Andre Ghem,15-30,100,1,.33333334,3
24,Andre Ghem,15-40,100,1,1,3
24,Andre Ghem,30-0,100,1,.60000002,5
24,Andre Ghem,30-15,100,1,1,3
24,Andre Ghem,30-30,100,1,1,1
24,Andre Ghem,30-40,100,1,0,3
24,Andre Ghem,40-0,100,1,.66666669,3
24,Andre Ghem,40-15,100,1,.5,4
24,Andre Ghem,40-30,100,1,.33333334,3
24,Andre Ghem,40-40,100,1,0,2
24,Andre Ghem,40-50,100,1,1,2
24,Andre Ghem,50-40,100,1,.5,2
25,Andrea Arnaboldi,0-0,100,1,.56,75
25,Andrea Arnaboldi,0-15,100,1,.57575756,33
25,Andrea Arnaboldi,0-30,100,1,.64285713,14
25,Andrea Arnaboldi,0-40,100,1,.80000001,5
25,Andrea Arnaboldi,15-0,100,1,.73809522,42
25,Andrea Arnaboldi,15-15,100,1,.63333333,30
25,Andrea Arnaboldi,15-30,100,1,.64999998,20
25,Andrea Arnaboldi,15-40,100,1,.63636363,11
25,Andrea Arnaboldi,30-0,100,1,.41935483,31
25,Andrea Arnaboldi,30-15,100,1,.54054052,37
25,Andrea Arnaboldi,30-30,100,1,.46666667,30
25,Andrea Arnaboldi,30-40,100,1,.60869563,23
25,Andrea Arnaboldi,40-0,100,1,.61538464,13
25,Andrea Arnaboldi,40-15,100,1,.60000002,25
25,Andrea Arnaboldi,40-30,100,1,.66666669,24
25,Andrea Arnaboldi,40-40,100,1,.59090906,22
25,Andrea Arnaboldi,40-50,100,1,.66666669,12
25,Andrea Arnaboldi,50-40,100,1,.63157892,19
27,Germain Gigounon,0-0,100,1,.58333331,12
27,Germain Gigounon,0-15,100,1,.80000001,5
27,Germain Gigounon,0-30,100,1,0,1
27,Germain Gigounon,0-40,100,1,0,1
27,Germain Gigounon,15-0,100,1,.2857143,7
27,Germain Gigounon,15-15,100,1,.33333334,9
27,Germain Gigounon,15-30,100,1,.5,6
27,Germain Gigounon,15-40,100,1,0,3
27,Germain Gigounon,30-0,100,1,.5,2
27,Germain Gigounon,30-15,100,1,0,4
27,Germain Gigounon,30-30,100,1,.5714286,7
27,Germain Gigounon,30-40,100,1,0,3
27,Germain Gigounon,40-0,100,1,0,1
27,Germain Gigounon,40-15,100,1,0,1
27,Germain Gigounon,40-30,100,1,1,5
29,Victor Baluda,0-0,100,1,.66666669,9
29,Victor Baluda,0-15,100,1,.66666669,3
29,Victor Baluda,0-30,100,1,1,1
29,Victor Baluda,15-0,100,1,.5,6
29,Victor Baluda,15-15,100,1,.40000001,5
29,Victor Baluda,15-30,100,1,.25,4
29,Victor Baluda,15-40,100,1,.66666669,3
29,Victor Baluda,30-0,100,1,1,3
29,Victor Baluda,30-15,100,1,.5,2
29,Victor Baluda,30-30,100,1,1,2
29,Victor Baluda,30-40,100,1,.5,2
29,Victor Baluda,40-0,100,1,.66666669,3
29,Victor Baluda,40-15,100,1,.5,2
29,Victor Baluda,40-30,100,1,.66666669,3
29,Victor Baluda,40-40,100,1,1,2
29,Victor Baluda,40-50,100,1,.5,2
29,Victor Baluda,50-40,100,1,0,2
30,Patrick Ciorcila,0-0,100,1,.45454547,11
30,Patrick Ciorcila,0-15,100,1,.83333331,6
30,Patrick Ciorcila,0-30,100,1,1,1
30,Patrick Ciorcila,15-0,100,1,.80000001,5
30,Patrick Ciorcila,15-15,100,1,.5,6
30,Patrick Ciorcila,15-30,100,1,.75,4
30,Patrick Ciorcila,15-40,100,1,1,1
30,Patrick Ciorcila,30-0,100,1,.25,4
30,Patrick Ciorcila,30-15,100,1,.83333331,6
30,Patrick Ciorcila,30-30,100,1,.25,4
30,Patrick Ciorcila,30-40,100,1,.25,4
30,Patrick Ciorcila,40-0,100,1,1,1
30,Patrick Ciorcila,40-15,100,1,.60000002,5
30,Patrick Ciorcila,40-30,100,1,.66666669,3
30,Patrick Ciorcila,40-40,100,1,0,2
30,Patrick Ciorcila,40-50,100,1,1,2
30,Patrick Ciorcila,50-40,100,1,1,1
31,Igor Andreev,0-0,100,1,.67537314,268
31,Igor Andreev,0-15,100,1,.66666669,87
31,Igor Andreev,0-30,100,1,.62068963,29
31,Igor Andreev,0-40,100,1,.27272728,11
31,Igor Andreev,15-0,100,1,.55000001,180
31,Igor Andreev,15-15,100,1,.60000002,140
31,Igor Andreev,15-30,100,1,.6081081,74
31,Igor Andreev,15-40,100,1,.65625,32
31,Igor Andreev,30-0,100,1,.65656567,99
31,Igor Andreev,30-15,100,1,.65254235,118
31,Igor Andreev,30-30,100,1,.52325583,86
31,Igor Andreev,30-40,100,1,.59677422,62
31,Igor Andreev,40-0,100,1,.60000002,65
31,Igor Andreev,40-15,100,1,.69902915,103
31,Igor Andreev,40-30,100,1,.60526317,76
31,Igor Andreev,40-40,100,1,.62686568,67
31,Igor Andreev,40-50,100,1,.65714288,35
31,Igor Andreev,50-40,100,1,.5272727,55
32,Javier Marti,0-0,100,1,.54237288,59
32,Javier Marti,0-15,100,1,.5925926,27
32,Javier Marti,0-30,100,1,.36363637,11
32,Javier Marti,0-40,100,1,.2857143,7
32,Javier Marti,15-0,100,1,.5625,32
32,Javier Marti,15-15,100,1,.56666666,30
32,Javier Marti,15-30,100,1,.64705884,17
32,Javier Marti,15-40,100,1,.5,8
32,Javier Marti,30-0,100,1,.77777779,18
32,Javier Marti,30-15,100,1,.42857143,21
32,Javier Marti,30-30,100,1,.60869563,23
32,Javier Marti,30-40,100,1,.38461539,13
32,Javier Marti,40-0,100,1,.71428573,14
32,Javier Marti,40-15,100,1,.53846157,13
32,Javier Marti,40-30,100,1,.44999999,20
32,Javier Marti,40-40,100,1,.5,16
32,Javier Marti,40-50,100,1,.33333334,9
32,Javier Marti,50-40,100,1,.63636363,11
40,Gonzalo Lama,0-0,100,1,.8888889,9
40,Gonzalo Lama,0-15,100,1,0,1
40,Gonzalo Lama,0-30,100,1,1,1
40,Gonzalo Lama,15-0,100,1,.375,8
40,Gonzalo Lama,15-15,100,1,.40000001,5
40,Gonzalo Lama,15-30,100,1,.25,4
40,Gonzalo Lama,15-40,100,1,.33333334,3
40,Gonzalo Lama,30-0,100,1,.66666669,3
40,Gonzalo Lama,30-15,100,1,1,3
40,Gonzalo Lama,30-30,100,1,0,1
40,Gonzalo Lama,30-40,100,1,1,2
40,Gonzalo Lama,40-0,100,1,.5,2
40,Gonzalo Lama,40-15,100,1,1,4
40,Gonzalo Lama,40-40,100,1,.5,2
40,Gonzalo Lama,40-50,100,1,1,1
40,Gonzalo Lama,50-40,100,1,.5,2
41,Nikolay Davydenko,0-0,100,1,.59456396,883
41,Nikolay Davydenko,0-15,100,1,.54748601,358
41,Nikolay Davydenko,0-30,100,1,.57407409,162
41,Nikolay Davydenko,0-40,100,1,.56521738,69
41,Nikolay Davydenko,15-0,100,1,.61142856,525
41,Nikolay Davydenko,15-15,100,1,.62656641,399
41,Nikolay Davydenko,15-30,100,1,.6404959,242
41,Nikolay Davydenko,15-40,100,1,.53174603,126
41,Nikolay Davydenko,30-0,100,1,.62616825,321
41,Nikolay Davydenko,30-15,100,1,.60646898,371
41,Nikolay Davydenko,30-30,100,1,.57475084,301
41,Nikolay Davydenko,30-40,100,1,.63589746,195
41,Nikolay Davydenko,40-0,100,1,.6169154,201
41,Nikolay Davydenko,40-15,100,1,.60596025,302
41,Nikolay Davydenko,40-30,100,1,.5958904,292
41,Nikolay Davydenko,40-40,100,1,.59917355,242
41,Nikolay Davydenko,40-50,100,1,.60162604,123
41,Nikolay Davydenko,50-40,100,1,.65641028,195
42,Renzo Olivo,0-0,100,1,.64285713,42
42,Renzo Olivo,0-15,100,1,.66666669,15
42,Renzo Olivo,0-30,100,1,.60000002,5
42,Renzo Olivo,0-40,100,1,0,2
42,Renzo Olivo,15-0,100,1,.55555558,27
42,Renzo Olivo,15-15,100,1,.59090906,22
42,Renzo Olivo,15-30,100,1,.66666669,12
42,Renzo Olivo,15-40,100,1,.5,4
42,Renzo Olivo,30-0,100,1,.80000001,15
42,Renzo Olivo,30-15,100,1,.5,16
42,Renzo Olivo,30-30,100,1,.375,16
42,Renzo Olivo,30-40,100,1,.5,12
42,Renzo Olivo,40-0,100,1,.66666669,12
42,Renzo Olivo,40-15,100,1,.66666669,12
42,Renzo Olivo,40-30,100,1,.89999998,10
42,Renzo Olivo,40-40,100,1,.5714286,7
42,Renzo Olivo,40-50,100,1,.66666669,3
42,Renzo Olivo,50-40,100,1,.16666667,6
44,Riccardo Ghedin,0-0,100,1,.5625,16
44,Riccardo Ghedin,0-15,100,1,.5714286,7
44,Riccardo Ghedin,0-30,100,1,.33333334,3
44,Riccardo Ghedin,0-40,100,1,1,2
44,Riccardo Ghedin,15-0,100,1,.44444445,9
44,Riccardo Ghedin,15-15,100,1,.77777779,9
44,Riccardo Ghedin,15-30,100,1,.66666669,3
44,Riccardo Ghedin,15-40,100,1,1,3
44,Riccardo Ghedin,30-0,100,1,.25,4
44,Riccardo Ghedin,30-15,100,1,.80000001,10
44,Riccardo Ghedin,30-30,100,1,.75,4
44,Riccardo Ghedin,30-40,100,1,.75,4
44,Riccardo Ghedin,40-0,100,1,1,1
44,Riccardo Ghedin,40-15,100,1,.75,8
44,Riccardo Ghedin,40-30,100,1,.40000001,5
44,Riccardo Ghedin,40-40,100,1,.66666669,6
44,Riccardo Ghedin,40-50,100,1,.25,4
44,Riccardo Ghedin,50-40,100,1,.60000002,5
45,Antonio Veic,0-0,100,1,.70454544,44
45,Antonio Veic,0-15,100,1,.46153846,13
45,Antonio Veic,0-30,100,1,.5714286,7
45,Antonio Veic,0-40,100,1,.66666669,3
45,Antonio Veic,15-0,100,1,.64516127,31
45,Antonio Veic,15-15,100,1,.58823532,17
45,Antonio Veic,15-30,100,1,.63636363,11
45,Antonio Veic,15-40,100,1,.5,6
45,Antonio Veic,30-0,100,1,.5,20
45,Antonio Veic,30-15,100,1,.55000001,20
45,Antonio Veic,30-30,100,1,.75,16
45,Antonio Veic,30-40,100,1,.42857143,7
45,Antonio Veic,40-0,100,1,.80000001,10
45,Antonio Veic,40-15,100,1,.46153846,13
45,Antonio Veic,40-30,100,1,.63157892,19
45,Antonio Veic,40-40,100,1,.69999999,10
45,Antonio Veic,40-50,100,1,.40000001,5
45,Antonio Veic,50-40,100,1,.375,8
47,Thanasi Kokkinakis,0-0,100,1,.59585494,386
47,Thanasi Kokkinakis,0-15,100,1,.59615386,156
47,Thanasi Kokkinakis,0-30,100,1,.47619048,63
47,Thanasi Kokkinakis,0-40,100,1,.57575756,33
47,Thanasi Kokkinakis,15-0,100,1,.6695652,230
47,Thanasi Kokkinakis,15-15,100,1,.63905323,169
47,Thanasi Kokkinakis,15-30,100,1,.61538464,91
47,Thanasi Kokkinakis,15-40,100,1,.66666669,54
47,Thanasi Kokkinakis,30-0,100,1,.62987012,154
47,Thanasi Kokkinakis,30-15,100,1,.61818182,165
47,Thanasi Kokkinakis,30-30,100,1,.65546221,119
47,Thanasi Kokkinakis,30-40,100,1,.61038959,77
47,Thanasi Kokkinakis,40-0,100,1,.74226803,97
47,Thanasi Kokkinakis,40-15,100,1,.67716533,127
47,Thanasi Kokkinakis,40-30,100,1,.78151262,119
47,Thanasi Kokkinakis,40-40,100,1,.67123288,73
47,Thanasi Kokkinakis,40-50,100,1,.52941179,34
47,Thanasi Kokkinakis,50-40,100,1,.63333333,60
49,Evgeny Donskoy,0-0,100,1,.62823528,425
49,Evgeny Donskoy,0-15,100,1,.60126585,158
49,Evgeny Donskoy,0-30,100,1,.5714286,63
49,Evgeny Donskoy,0-40,100,1,.44444445,27
49,Evgeny Donskoy,15-0,100,1,.59176028,267
49,Evgeny Donskoy,15-15,100,1,.65196079,204
49,Evgeny Donskoy,15-30,100,1,.69158876,107
49,Evgeny Donskoy,15-40,100,1,.55555558,45
49,Evgeny Donskoy,30-0,100,1,.6708861,158
49,Evgeny Donskoy,30-15,100,1,.61081082,185
49,Evgeny Donskoy,30-30,100,1,.6438356,146
49,Evgeny Donskoy,30-40,100,1,.63636363,77
49,Evgeny Donskoy,40-0,100,1,.6981132,106
49,Evgeny Donskoy,40-15,100,1,.66206896,145
49,Evgeny Donskoy,40-30,100,1,.55244756,143
49,Evgeny Donskoy,40-40,100,1,.59292036,113
49,Evgeny Donskoy,40-50,100,1,.70175439,57
49,Evgeny Donskoy,50-40,100,1,.68817204,93
50,Benjamin Becker,0-0,100,1,.62849653,1144
50,Benjamin Becker,0-15,100,1,.63058823,425
50,Benjamin Becker,0-30,100,1,.68152869,157
50,Benjamin Becker,0-40,100,1,.51020408,49
50,Benjamin Becker,15-0,100,1,.60500693,719
50,Benjamin Becker,15-15,100,1,.62137681,552
50,Benjamin Becker,15-30,100,1,.58860761,316
50,Benjamin Becker,15-40,100,1,.62820512,156
50,Benjamin Becker,30-0,100,1,.6413793,435
50,Benjamin Becker,30-15,100,1,.64529055,499
50,Benjamin Becker,30-30,100,1,.65013772,363
50,Benjamin Becker,30-40,100,1,.5688889,225
50,Benjamin Becker,40-0,100,1,.69534051,279
50,Benjamin Becker,40-15,100,1,.65847665,407
50,Benjamin Becker,40-30,100,1,.62933332,375
50,Benjamin Becker,40-40,100,1,.63670415,267
50,Benjamin Becker,40-50,100,1,.5597015,134
50,Benjamin Becker,50-40,100,1,.57339448,218
53,Viktor Galovic,0-0,100,1,.5,16
53,Viktor Galovic,0-15,100,1,.875,8
53,Viktor Galovic,0-30,100,1,0,1
53,Viktor Galovic,0-40,100,1,0,1
53,Viktor Galovic,15-0,100,1,.25,8
53,Viktor Galovic,15-15,100,1,.38461539,13
53,Viktor Galovic,15-30,100,1,.75,8
53,Viktor Galovic,15-40,100,1,0,2
53,Viktor Galovic,30-0,100,1,1,2
53,Viktor Galovic,30-15,100,1,.60000002,5
53,Viktor Galovic,30-30,100,1,.75,8
53,Viktor Galovic,30-40,100,1,0,2
53,Viktor Galovic,40-0,100,1,.5,2
53,Viktor Galovic,40-15,100,1,1,4
53,Viktor Galovic,40-30,100,1,.16666667,6
53,Viktor Galovic,40-40,100,1,.80000001,5
53,Viktor Galovic,40-50,100,1,0,1
53,Viktor Galovic,50-40,100,1,1,4
54,Dustin Brown,0-0,100,1,.64469451,622
54,Dustin Brown,0-15,100,1,.6606335,221
54,Dustin Brown,0-30,100,1,.61333334,75
54,Dustin Brown,0-40,100,1,.62068963,29
54,Dustin Brown,15-0,100,1,.62842894,401
54,Dustin Brown,15-15,100,1,.70748299,294
54,Dustin Brown,15-30,100,1,.62406015,133
54,Dustin Brown,15-40,100,1,.57352942,68
54,Dustin Brown,30-0,100,1,.72222221,252
54,Dustin Brown,30-15,100,1,.64748204,278
